paired_pass,execution_index,condition_key,condition_name,tee_scope,service1_vm_size,service1_nodepool,service1_confidential,service2_vm_size,service2_nodepool,service2_confidential,service2_zone,round,iteration,end_to_end_ms,total_compute_ms,non_compute_overhead_ms,total_activation_bytes,num_hops,hop_1_compute_ms,hop_1_forward_ms,hop_2_compute_ms,hop_2_forward_ms,source_raw_iterations
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,42,63.31488800014995,53.90654300001074,9.408345000139207,1003520,1,29.807306999998673,29.461902999969425,24.09923600001207,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,43,62.94183399995745,53.80454000001578,9.137293999941676,1003520,1,29.924907000008716,28.949198000020715,23.87963300000706,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,44,63.177392000170585,53.90334100002292,9.274051000147665,1003520,1,30.132910000020274,29.00219800000059,23.770431000002645,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,45,63.772900999993,54.16654200001858,9.606358999974418,1003520,1,30.79531600002383,28.988998000045285,23.37122599999475,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,46,63.36482200003957,54.13154500001838,9.23327700002119,1003520,1,29.99560900002507,29.404601999999613,24.135935999993308,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,47,62.93505200005711,53.63563800000293,9.299414000054185,1003520,1,29.829005999999936,29.139100000008966,23.806632000002992,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,48,68.06764699990708,54.63694699994903,13.430699999958051,1003520,1,31.266020999964894,28.56589300000678,23.370925999984138,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,49,62.85387000002629,53.83233999995696,9.021530000069333,1003520,1,30.00290799997174,28.946496999992632,23.829431999985218,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,50,63.63522400010879,54.08314400003178,9.552080000077012,1003520,1,29.843706000008297,29.81080600000041,24.239438000023483,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
1,1,confidential,chain_2svc_mtls_confidential_full,full_2svc,Standard_DC8as_v5,r22s1cvm,True,Standard_DC8as_v5,r22s2cvm,True,1,1,51,65.43279799984703,56.274064999996654,9.158732999850372,1003520,1,32.67773599998236,28.751496000040788,23.596329000014293,0.0,C:\Users\Nick\Desktop\opus\results_exports\rq2_2_confidential_20260503_085320\conditions\pass01_01_chain_2svc_mtls_confidential_full\benchmark\raw_iterations.csv
